Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00        2     0.00     0.00  cuddFreeTable
  0.00    141.67     0.00        2     0.00     0.00  cuddInitTable
  0.00    141.67     0.00        2     0.00     0.00  cuddZddFreeUniv
  0.00    141.67     0.00        1     0.00     0.00  Abc_AigAlloc
  0.00    141.67     0.00        1     0.00     0.00  Abc_AigCheck
  0.00    141.67     0.00        1     0.00     0.00  Abc_AigCleanup
  0.00    141.67     0.00        1     0.00     0.00  Abc_AigDfs
  0.00    141.67     0.00        1     0.00     0.00  Abc_AigFree
  0.00    141.67     0.00        1     0.00     0.01  Abc_CommandBdd
  0.00    141.67     0.00        1     0.00   137.78  Abc_CommandFxch
  0.00    141.67     0.00        1     0.00     0.00  Abc_CommandRenode
  0.00    141.67     0.00        1     0.00     0.00  Abc_CommandSop
  0.00    141.67     0.00        1     0.00     0.00  Abc_End
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameAllocate
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameClearVerifStatus
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameCopyLTLDataBase
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameDeallocate
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameDeleteAllNetworks
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameEnd
  0.00    141.67     0.00        1     0.00     0.03  Abc_FrameInit
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadLibBox
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadLibGen
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadLibGen2
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadLibLut
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadLibSuper
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameReadStore
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameSetLibLut
  0.00    141.67     0.00        1     0.00     0.00  Abc_FrameStoreStop
  0.00    141.67     0.00        1     0.00     0.03  Abc_Init
  0.00    141.67     0.00        1     0.00     0.00  Abc_ManTimeDup
  0.00    141.67     0.00        1     0.00     0.00  Abc_NamDeref
  0.00    141.67     0.00        1     0.00     0.00  Abc_NodeCollectFanins
  0.00    141.67     0.00        1     0.00     0.00  Abc_NodeCollectFanouts
  0.00    141.67     0.00        1     0.00     0.00  Abc_NodeIsConst0
